"lon" "lat" "currentDist"
"319" 4 37 139
"320" 4 38 163
"321" 4 39 159
"322" 4 40 124
"323" 4 41 161
"324" 4 42 102
"325" 4 43 128
"326" 4 44 102
"327" 4 45 119
"328" 4 46 94
"329" 4 47 120
"330" 4 48 122
"331" 4 49 183
"332" 4 50 177
"333" 4 51 131
"334" 4 52 137
"335" 4 53 185
"336" 4 54 145
"337" 4 55 146
"338" 4 56 144
"339" 4 57 147
"340" 4 58 159
"341" 4 59 146
"342" 4 60 179
"343" 4 61 154
"344" 4 62 140
"345" 4 63 152
"346" 4 64 158
"347" 4 65 133
"348" 4 66 130
"349" 4 67 119
"350" 4 68 149
"351" 4 69 134
"352" 4 70 100
"353" 4 71 80
"354" 4 72 68
"355" 4 73 76
"356" 4 74 89
"357" 4 75 88
"358" 4 76 135
"359" 4 77 102
"360" 4 78 121
"361" 4 79 125
"362" 4 80 117
"363" 4 81 126
"364" 4 82 114
"365" 4 83 114
"366" 4 84 134
"367" 4 85 143
"368" 4 86 101
"369" 4 87 117
"370" 4 88 94
"371" 4 89 108
"372" 4 90 114
"373" 4 91 95
"374" 4 92 94
"375" 4 93 85
"376" 4 94 123
"377" 5 1 116
"378" 5 2 123
"379" 5 3 131
"380" 5 4 133
"381" 5 5 133
"382" 5 6 123
"383" 5 7 146
"384" 5 8 130
"385" 5 9 136
"386" 5 10 144
"387" 5 11 162
"388" 5 12 148
"389" 5 13 110
"390" 5 14 128
"391" 5 15 130
"392" 5 16 142
"393" 5 17 110
"394" 5 18 106
"395" 5 19 104
"396" 5 20 106
"397" 5 21 134
"398" 5 22 128
"399" 5 23 110
"400" 5 24 123
"401" 5 25 144
"402" 5 26 108
"403" 5 27 104
"404" 5 28 124
"405" 5 29 111
"406" 5 30 185
"407" 5 31 120
"408" 5 32 115
"409" 5 33 161
"410" 5 34 128
"411" 5 35 134
"412" 5 36 158
"413" 5 37 137
"414" 5 38 164
"415" 5 39 177
"416" 5 40 159
"417" 5 41 101
"418" 5 42 152
"419" 5 43 130
"420" 5 44 131
"421" 5 45 95
"422" 5 46 109
"423" 5 47 132
"424" 5 48 141
"425" 5 49 157
"426" 5 50 159
"427" 5 51 130
"428" 5 52 159
"429" 5 53 142
"430" 5 54 138
"431" 5 55 125
"432" 5 56 120
"433" 5 57 105
"434" 5 58 137
"435" 5 59 121
"436" 5 60 147
"437" 5 61 147
"438" 5 62 126
"439" 5 63 148
"440" 5 64 135
"441" 5 65 136
"442" 5 66 136
"443" 5 67 116
"444" 5 68 143
"445" 5 69 104
"446" 5 70 136
"447" 5 71 113
"448" 5 72 65
"449" 5 73 78
"450" 5 74 81
"451" 5 75 85
"452" 5 76 93
"453" 5 77 118
"454" 5 78 127
"455" 5 79 93
"456" 5 80 93
"457" 5 81 128
"458" 5 82 134
"459" 5 83 130
"460" 5 84 91
"461" 5 85 139
"462" 5 86 100
"463" 5 87 89
"464" 5 88 104
"465" 5 89 110
"466" 5 90 130
"467" 5 91 101
"468" 5 92 80
"469" 5 93 87
"470" 5 94 123
"471" 6 1 126
"472" 6 2 127
"473" 6 3 133
"474" 6 4 134
"475" 6 5 129
"476" 6 6 124
"477" 6 7 118
"478" 6 8 142
"479" 6 9 133
"480" 6 10 146
"481" 6 11 118
"482" 6 12 114
"483" 6 13 116
"484" 6 14 106
"485" 6 15 96
"486" 6 16 124
"487" 6 17 118
"488" 6 18 96
"489" 6 19 98
"490" 6 20 118
"491" 6 21 121
"492" 6 22 96
"493" 6 23 108
"494" 6 24 130
"495" 6 25 130
"496" 6 26 142
"497" 6 27 155
"498" 6 28 130
